,,,,,,,,,,,,,
,EDC 2026 Artists by Day & Stage,,,,,,,,,,,,
,Kinetic Field,Circuit Grounds,Cosmic Meadow,Neon Garden,Basspod,Wasteland,Quantum Valley,Stereo Bloom,Bionic Jungle,,Quick Counts,Sets,Longest Stage Day
,"John Summit
12:32-1:47 AM","Peggy Gou B2B KI/KI
1:45-3:15 AM","BUNT. (In The Round)
12:40-2:10 AM","Josh Baker B2B KETTAMA B2B Prospa
3:30-5:30 AM","Delta Heavy
11:30 PM-12:30 AM","Audiofreq B2B Code Black B2B Toneshifterz
12:30-1:30 AM","Maddix
12:30-1:30 AM","Wax Motif
12:30-1:45 AM","Bad Boombox B2B Ollie Lishman
1:15-2:30 AM",,,,
,"Subtronics
1:47-3:01 AM","Boys Noize
3:15-4:30 AM","Interplanetary Criminal
2:10-3:30 AM",,"Getter
12:30-1:30 AM","Da Tweekaz
1:30-2:30 AM","Mathame
1:30-2:30 AM","CID
1:45-3:00 AM","Benwal
2:30-3:30 AM",,,,
,"Kaskade
3:01-4:14 AM","Lilly Palmer
4:30-5:30 AM","MALUGI
3:30-4:30 AM",,"Eptic B2B Space Laces
1:30-2:30 AM","Lil Texas
2:30-3:30 AM","Astrix
2:30-3:30 AM","HNTR
3:00-4:15 AM","BAUGRUPPE90
3:30-4:30 AM",,,,
,"Above & Beyond (Sunrise Set)
4:14-5:30 AM",,"DJ Gigola B2B MCR-T
4:30-5:30 AM",,"Doctor P B2B Flux Pavilion B2B FuntCase
2:30-3:30 AM","Mish
3:30-4:30 AM","T78
3:30-4:30 AM","BOLO (Sunrise Set)
4:15-5:30 AM","Club Angel
4:30-5:30 AM",,,,
,,,,,"HOL!
3:30-4:30 AM","Alyssa Jolee
4:30-5:30 AM","Thomas Schumacher
4:30-5:30 AM",,,,,,
,,,,,"Mary Droppinz
4:30-5:30 AM",,,,,,,,
SUNDAY,"Trace
7:00-8:00 PM","Linska
7:00-8:30 PM","GRAVAGERZ
7:00-8:00 PM","Bad Beat
7:00-8:15 PM","Nightstalker with MC Dino
7:00-7:50 PM","Sihk
7:00-8:30 PM","Warung
7:00-8:00 PM","KLO
7:00-8:00 PM","Alves
7:00-8:30 PM",,,,
,"Ship Wrek
8:00-9:00 PM","ANNA
8:30-10:00 PM","Nostalgix
8:00-9:00 PM","Frankie Bones
8:15-9:30 PM","Sippy
7:50-8:40 PM","Clawz
8:30-9:30 PM","Shingo Nakamura
8:00-9:00 PM","Murphy's Law
8:00-9:15 PM","ISAbella
8:30-10:30 PM",,,,
,"Layton Giordani
9:00-10:07 PM","Beltran
10:00-11:30 PM","William Black
9:00-10:00 PM","Adiel
9:30-10:50 PM","EAZYBAKED
8:40-9:30 PM","The Purge
9:30-10:30 PM","Rebüke
9:00-10:00 PM","Sidney Charles B2B Bushbaby
9:15-10:30 PM","KinAhau
10:30 PM-12:00 AM",,,,
,"Funk Tribu
10:07-11:19 PM","Chris Stussy
11:30 PM-1:00 AM","San Holo (Wholesome Riddim Set)
10:00-11:00 PM","DJ Gigola
10:50 PM-12:10 AM","INFEKT B2B Samplifire
9:30-10:30 PM","Yosuf
10:30-11:30 PM","Cristoph
10:00-11:00 PM","Skream
10:30-11:45 PM","Tiga
12:00-1:30 AM",,,,
,"GRiZ B2B Wooli
11:19 PM-12:32 AM","Solomun
1:00-2:30 AM","Dabin
11:00 PM-12:05 AM","999999999
12:10-1:30 AM","A.M.C with MC Phantom
10:30-11:30 PM","DJ Isaac
11:30 PM-12:30 AM","Eli & Fur
11:00 PM-12:00 AM","Hamdi
11:45 PM-1:00 AM","DJ Tennis B2B Red Axes
1:30-3:30 AM",,,,
,"Zedd
12:32-1:47 AM","Vintage Culture
2:30-4:00 AM","Alison Wonderland
12:05-1:05 AM","Indira Paganotto
1:30-2:50 AM","Virtual Riot
11:30 PM-12:30 AM","Vieze Asbak
12:30-1:30 AM","Tinlicker (DJ Set)
12:00-1:00 AM","Chris Lorenzo B2B Bullet Tooth
1:00-2:15 AM","Beltran B2B Simas
3:30-5:30 AM",,,,
,"Martin Garrix
1:47-3:01 AM","Kevin de Vries
4:00-5:30 AM","Seven Lions
1:05-2:20 AM","KI/KI
2:50-4:10 AM","Peekaboo
12:30-1:30 AM","Sub Zero Project
1:30-2:30 AM","Cassian
1:00-2:15 AM","Silva Bumpa
2:15-3:30 AM",,,,,
,"Cloonee
3:01-4:14 AM",,"Restricted
2:20-3:20 AM","Klangkuenstler
4:10-5:30 AM","AHEE B2B Liquid Stranger
1:30-2:30 AM","Pooler
2:30-3:30 AM","Massano
2:15-3:30 AM","Morgan Seatree
3:30-4:30 AM",,,,,
,"Armin van Buuren (Sunrise Set)
4:14-5:30 AM",,"Black Tiger Sex Machine
3:20-4:30 AM",,"Whethan
2:30-3:30 AM","Warface
3:30-4:30 AM","Innellea
3:30-4:30 AM","Lu.Re
4:30-5:30 AM",,,,,
,,,"Nico Moreno B2B Holy Priest
4:30-5:30 AM",,"Boogie T B2B Distinct Motive
3:30-4:30 AM","MADGRRL B2B VESSEL
4:30-5:30 AM","KREAM
4:30-5:30 AM",,,,,,
,,,,,"ÆON:MODE (Sunrise Set)
4:30-5:30 AM",,,,,,,,
